nohup: ignoring input
Using backend: pytorch
cuda:0 pretrained/GGCN_wisconsin_04_14_02_15.pt
Epoch:0196 train loss:0.012 acc:100.00 | val loss:0.385 acc:87.50
Epoch:0197 train loss:0.012 acc:100.00 | val loss:0.385 acc:87.50
Epoch:0198 train loss:0.012 acc:100.00 | val loss:0.385 acc:87.50
Epoch:0199 train loss:0.012 acc:100.00 | val loss:0.385 acc:87.50
Epoch:0200 train loss:0.012 acc:100.00 | val loss:0.385 acc:87.50
Epoch:0201 train loss:0.012 acc:100.00 | val loss:0.385 acc:87.50
Epoch:0202 train loss:0.012 acc:100.00 | val loss:0.385 acc:87.50
Epoch:0203 train loss:0.012 acc:100.00 | val loss:0.385 acc:87.50
Epoch:0204 train loss:0.012 acc:100.00 | val loss:0.385 acc:87.50
Epoch:0205 train loss:0.012 acc:100.00 | val loss:0.385 acc:87.50
Epoch:0206 train loss:0.012 acc:100.00 | val loss:0.385 acc:87.50
Epoch:0207 train loss:0.012 acc:100.00 | val loss:0.385 acc:87.50
Epoch:0208 train loss:0.012 acc:100.00 | val loss:0.384 acc:87.50
Epoch:0209 train loss:0.012 acc:100.00 | val loss:0.385 acc:87.50
Epoch:0210 train loss:0.012 acc:100.00 | val loss:0.384 acc:87.50
Epoch:0211 train loss:0.012 acc:100.00 | val loss:0.386 acc:86.25
Epoch:0212 train loss:0.012 acc:100.00 | val loss:0.383 acc:87.50
Epoch:0213 train loss:0.011 acc:100.00 | val loss:0.387 acc:86.25
Epoch:0214 train loss:0.011 acc:100.00 | val loss:0.382 acc:87.50
Epoch:0215 train loss:0.011 acc:100.00 | val loss:0.391 acc:86.25
Epoch:0216 train loss:0.011 acc:100.00 | val loss:0.379 acc:86.25
Epoch:0217 train loss:0.011 acc:100.00 | val loss:0.404 acc:83.75
Epoch:0218 train loss:0.012 acc:100.00 | val loss:0.373 acc:87.50
Epoch:0219 train loss:0.011 acc:100.00 | val loss:0.409 acc:83.75
Epoch:0220 train loss:0.011 acc:100.00 | val loss:0.371 acc:87.50
Epoch:0221 train loss:0.011 acc:100.00 | val loss:0.384 acc:86.25
Epoch:0222 train loss:0.011 acc:100.00 | val loss:0.404 acc:83.75
Epoch:0223 train loss:0.011 acc:100.00 | val loss:0.365 acc:87.50
Epoch:0224 train loss:0.011 acc:100.00 | val loss:0.397 acc:86.25
Epoch:0225 train loss:0.011 acc:100.00 | val loss:0.388 acc:86.25
Epoch:0226 train loss:0.011 acc:100.00 | val loss:0.372 acc:87.50
Epoch:0227 train loss:0.011 acc:100.00 | val loss:0.403 acc:86.25
Epoch:0228 train loss:0.011 acc:100.00 | val loss:0.376 acc:86.25
Epoch:0229 train loss:0.011 acc:100.00 | val loss:0.377 acc:87.50
Epoch:0230 train loss:0.011 acc:100.00 | val loss:0.404 acc:86.25
Epoch:0231 train loss:0.011 acc:100.00 | val loss:0.370 acc:87.50
Epoch:0232 train loss:0.011 acc:100.00 | val loss:0.381 acc:87.50
Epoch:0233 train loss:0.010 acc:100.00 | val loss:0.400 acc:86.25
Epoch:0234 train loss:0.010 acc:100.00 | val loss:0.370 acc:87.50
Epoch:0235 train loss:0.010 acc:100.00 | val loss:0.387 acc:87.50
Epoch:0236 train loss:0.010 acc:100.00 | val loss:0.394 acc:86.25
Epoch:0237 train loss:0.010 acc:100.00 | val loss:0.371 acc:87.50
