,dataset,lr,dropout,early_stopping,weight_decay,alpha,beta,gamma,norm_layers,orders,accuracy
233,squirrel,0.01,0.2,200,5e-05,0.1,0.1,0.8,2,3,0.28357348703170027
234,squirrel,0.01,0.2,200,1e-07,0.1,0.1,0.2,2,3,0.2836695485110471
235,squirrel,0.01,0.2,200,1e-07,0.1,0.1,0.4,2,3,0.2838616714697406
236,squirrel,0.01,0.4,200,5e-05,0.1,0.1,0.6,2,3,0.2838616714697406
237,squirrel,0.01,0.4,200,5e-05,0.1,0.1,0.2,2,3,0.28395773294908744
238,squirrel,0.01,0.4,200,5e-05,0.1,0.1,0.8,2,3,0.28405379442843415
239,squirrel,0.01,0.2,200,1e-06,0.1,0.1,0.8,2,3,0.2840537944284342
240,squirrel,0.01,0.4,200,5e-05,0.1,0.1,0.4,2,3,0.2849183477425553
241,squirrel,0.01,0.2,200,1e-07,0.1,0.1,0.6,2,3,0.28511047070124873
242,squirrel,0.01,0.2,200,1e-07,0.1,0.1,0.8,2,3,0.28549471661863596
243,squirrel,0.01,0.4,200,1e-06,0.1,0.1,0.4,2,3,0.28568683957732943
244,squirrel,0.01,0.4,200,1e-07,0.1,0.1,0.4,2,3,0.28578290105667625
245,squirrel,0.01,0.6,200,5e-05,0.1,0.1,0.4,2,3,0.28597502401536984
246,squirrel,0.01,0.6,200,5e-05,0.1,0.1,0.2,2,3,0.2860710854947166
247,squirrel,0.01,0.4,200,1e-06,0.1,0.1,0.2,2,3,0.28607108549471666
248,squirrel,0.01,0.4,200,1e-06,0.1,0.1,0.6,2,3,0.28626320845341013
249,squirrel,0.01,0.6,200,5e-05,0.1,0.1,0.8,2,3,0.28626320845341013
250,squirrel,0.01,0.6,200,5e-05,0.1,0.1,0.6,2,3,0.2862632084534102
251,squirrel,0.01,0.4,200,1e-07,0.1,0.1,0.6,2,3,0.28635926993275695
252,squirrel,0.01,0.4,200,1e-07,0.1,0.1,0.2,2,3,0.28655139289145054
253,squirrel,0.01,0.4,200,1e-07,0.1,0.1,0.8,2,3,0.2865513928914506
254,squirrel,0.01,0.4,200,1e-06,0.1,0.1,0.8,2,3,0.28674351585014407
255,squirrel,0.01,0.6,200,1e-06,0.1,0.1,0.8,2,3,0.28751200768491836
256,squirrel,0.01,0.6,200,1e-07,0.1,0.1,0.6,2,3,0.28808837656099906
257,squirrel,0.01,0.8,200,5e-05,0.1,0.1,0.2,2,3,0.2881844380403459
258,squirrel,0.01,0.6,200,1e-07,0.1,0.1,0.4,2,3,0.2883765609990394
259,squirrel,0.01,0.6,200,1e-06,0.1,0.1,0.6,2,3,0.2884726224783861
260,squirrel,0.01,0.6,200,1e-07,0.1,0.1,0.2,2,3,0.28856868395773294
261,squirrel,0.01,0.6,200,1e-06,0.1,0.1,0.4,2,3,0.28856868395773294
262,squirrel,0.01,0.6,200,1e-07,0.1,0.1,0.8,2,3,0.2888568683957733
263,squirrel,0.01,0.6,200,1e-06,0.1,0.1,0.2,2,3,0.2890489913544668
264,squirrel,0.01,0.8,200,1e-06,0.1,0.1,0.4,2,3,0.290297790585975
265,squirrel,0.01,0.8,200,1e-06,0.1,0.1,0.8,2,3,0.29039385206532187
266,squirrel,0.01,0.8,200,1e-06,0.1,0.1,0.6,2,3,0.29087415946205575
267,squirrel,0.01,0.8,200,1e-07,0.1,0.1,0.4,2,3,0.2909702209414025
268,squirrel,0.01,0.8,200,1e-06,0.1,0.1,0.2,2,3,0.2910662824207493
269,squirrel,0.01,0.8,200,1e-07,0.1,0.1,0.8,2,3,0.29116234390009604
270,squirrel,0.01,0.8,200,1e-07,0.1,0.1,0.2,2,3,0.29145052833813645
271,squirrel,0.01,0.8,200,1e-07,0.1,0.1,0.6,2,3,0.29145052833813645
272,texas,0.05,0.4,200,1e-07,1.0,0.1,0.4,2,3,0.7648648648648648
273,texas,0.05,0.4,200,1e-07,1.0,0.1,0.2,2,3,0.7702702702702703
274,texas,0.05,0.6,200,1e-07,1.0,0.1,0.2,2,3,0.7702702702702703
275,texas,0.05,0.6,200,1e-07,1.0,0.1,0.4,2,3,0.7702702702702703
276,texas,0.05,0.2,200,1e-07,1.0,0.1,0.8,2,3,0.7729729729729731
277,texas,0.05,0.2,200,1e-07,1.0,0.1,0.6,2,3,0.7756756756756757
278,texas,0.05,0.6,200,1e-07,1.0,0.1,0.8,2,3,0.7756756756756757
279,texas,0.05,0.2,200,1e-07,1.0,0.1,0.2,2,3,0.7783783783783784
280,texas,0.05,0.2,200,1e-07,1.0,0.1,0.4,2,3,0.7783783783783784
281,texas,0.05,0.8,200,1e-07,1.0,0.1,0.4,2,3,0.7783783783783784
282,texas,0.05,0.4,200,1e-07,1.0,0.1,0.8,2,3,0.7783783783783785
283,texas,0.05,0.4,200,1e-07,1.0,0.1,0.6,2,3,0.7810810810810811
284,texas,0.05,0.6,200,1e-07,1.0,0.1,0.6,2,3,0.7810810810810811
285,texas,0.05,0.8,200,1e-07,1.0,0.1,0.2,2,3,0.7837837837837839
286,texas,0.05,0.8,200,1e-06,1.0,0.1,0.4,2,3,0.7864864864864866
287,texas,0.05,0.8,200,1e-07,1.0,0.1,0.8,2,3,0.7891891891891892
288,texas,0.05,0.8,200,1e-06,1.0,0.1,0.6,2,3,0.7891891891891892
289,texas,0.05,0.8,200,1e-07,1.0,0.1,0.6,2,3,0.7918918918918918
290,texas,0.05,0.8,200,1e-06,1.0,0.1,0.2,2,3,0.791891891891892
291,texas,0.05,0.4,200,1e-06,1.0,0.1,0.4,2,3,0.7945945945945947
292,texas,0.05,0.8,200,1e-06,1.0,0.1,0.8,2,3,0.7945945945945947
293,texas,0.05,0.4,200,5e-05,1.0,0.1,0.6,2,3,0.7945945945945947
294,texas,0.05,0.6,200,1e-06,1.0,0.1,0.2,2,3,0.7972972972972973
