,dataset,lr,dropout,early_stopping,weight_decay,alpha,beta,gamma,delta,norm_func_id,norm_layers,orders_func_id,orders,accuracy,std
113,cora,0.01,0.8,40,1e-05,0.0,1000.0,0.7,0.9,2,2,2,4,0.8771,0.0107
114,cora,0.01,0.8,40,0.0001,0.0,1000.0,0.9,0.9,2,1,2,5,0.8771,0.0133
115,cora,0.01,0.8,40,5e-05,0.0,1000.0,0.9,0.9,2,3,2,4,0.8771,0.0096
116,cora,0.01,0.8,40,1e-05,0.0,1000.0,0.7,0.9,2,3,2,3,0.8773,0.0115
117,cora,0.01,0.8,40,0.0001,0.0,1000.0,0.8,0.9,2,3,2,4,0.8773,0.0121
118,cora,0.01,0.8,40,1e-05,0.0,1000.0,0.8,0.9,2,3,2,5,0.8773,0.0147
119,cora,0.01,0.8,40,0.0001,0.0,1000.0,0.8,0.9,2,1,2,4,0.8775,0.0131
120,cora,0.01,0.8,40,5e-05,0.0,1000.0,0.8,0.9,2,3,2,4,0.8775,0.013
121,cora,0.01,0.8,40,1e-05,0.0,1000.0,0.8,0.9,2,2,2,3,0.8775,0.0121
122,cora,0.01,0.8,40,5e-05,0.0,1000.0,0.9,0.9,2,2,2,4,0.8775,0.0131
123,cora,0.01,0.8,40,5e-05,0.0,1000.0,0.7,0.9,2,1,2,4,0.8777,0.0115
124,cora,0.01,0.8,40,0.0001,0.0,1000.0,0.8,0.9,2,2,2,5,0.8777,0.0114
125,cora,0.01,0.8,40,5e-05,0.0,1000.0,0.8,0.9,2,1,2,4,0.8777,0.0124
126,cora,0.01,0.8,40,5e-05,0.0,1000.0,0.7,0.9,2,2,2,4,0.8779,0.0118
127,cora,0.01,0.8,40,0.0001,0.0,1000.0,0.7,0.9,2,1,2,4,0.8781,0.0118
128,cora,0.01,0.8,40,1e-05,0.0,1000.0,0.7,0.9,2,2,2,3,0.8781,0.0126
129,cora,0.01,0.8,40,5e-05,0.0,1000.0,0.8,0.9,2,1,2,5,0.8781,0.011
130,cora,0.01,0.8,40,1e-05,0.0,1000.0,0.8,0.9,2,1,2,5,0.8781,0.0116
131,cora,0.01,0.8,40,5e-05,0.0,1000.0,0.7,0.9,2,2,2,3,0.8783,0.0118
132,cora,0.01,0.8,40,1e-05,0.0,1000.0,0.7,0.9,2,1,2,5,0.8783,0.0142
133,cora,0.01,0.8,40,1e-05,0.0,1000.0,0.8,0.9,2,3,2,4,0.8783,0.0107
134,cora,0.01,0.8,40,0.0001,0.0,1000.0,0.9,0.9,2,2,2,5,0.8785,0.0106
135,cora,0.01,0.8,40,0.0001,0.0,1000.0,0.8,0.9,2,3,2,5,0.8787,0.0122
136,cora,0.01,0.8,40,0.0001,0.0,1000.0,0.7,0.9,2,2,2,5,0.8789,0.0129
137,cora,0.01,0.8,40,0.0001,0.0,1000.0,0.7,0.9,2,1,2,5,0.8791,0.0086
138,cora,0.01,0.8,40,5e-05,0.0,1000.0,0.7,0.9,2,1,2,5,0.8791,0.0098
139,cora,0.01,0.8,40,5e-05,0.0,1000.0,0.9,0.9,2,3,2,5,0.8791,0.0102
140,cora,0.01,0.8,40,1e-05,0.0,1000.0,0.9,0.9,2,2,2,4,0.8791,0.0145
141,cora,0.01,0.8,40,0.0001,0.0,1000.0,0.7,0.9,2,2,2,4,0.8793,0.0105
142,cora,0.01,0.8,40,5e-05,0.0,1000.0,0.7,0.9,2,2,2,5,0.8793,0.0116
