,dataset,lr,dropout,early_stopping,weight_decay,alpha,beta,gamma,norm_layers,orders,accuracy
236,film,0.01,0.5,40,0.0005,10.0,0.5,0.1,2,3,0.3667105263157895
237,film,0.01,0.5,40,0.0005,1.0,10.0,0.1,2,3,0.3667763157894737
238,film,0.01,0.5,40,0.0005,0.5,10.0,0.1,2,3,0.3670394736842105
239,film,0.01,0.5,40,0.0005,10.0,10.0,0.5,2,3,0.36822368421052637
240,pubmed,0.01,0.5,40,0.0005,10.0,10.0,0.5,2,3,0.8696501014198784
241,pubmed,0.01,0.5,40,0.0005,10.0,0.5,0.1,2,3,0.8696754563894522
242,pubmed,0.01,0.5,40,0.0005,10.0,1.0,0.1,2,3,0.8696754563894522
243,pubmed,0.01,0.5,40,0.0005,1.0,0.1,0.5,2,3,0.8698022312373224
244,pubmed,0.01,0.5,40,0.0005,10.0,0.1,0.1,2,3,0.8698275862068965
245,pubmed,0.01,0.5,40,0.0005,0.5,0.1,0.1,2,3,0.8698275862068966
246,pubmed,0.01,0.5,40,0.0005,10.0,10.0,0.1,2,3,0.8698782961460447
247,pubmed,0.01,0.5,40,0.0005,1.0,1.0,0.5,2,3,0.8699036511156187
248,pubmed,0.01,0.5,40,0.0005,0.5,0.1,0.5,2,3,0.8699290060851927
249,pubmed,0.01,0.5,40,0.0005,0.1,0.5,0.1,2,3,0.8699543610547666
250,pubmed,0.01,0.5,40,0.0005,0.1,0.5,0.5,2,3,0.8699543610547668
251,pubmed,0.01,0.5,40,0.0005,0.1,10.0,0.5,2,3,0.8699543610547668
252,pubmed,0.01,0.5,40,0.0005,0.1,10.0,0.1,2,3,0.8699797160243408
253,pubmed,0.01,0.5,40,0.0005,1.0,0.5,0.5,2,3,0.8699797160243408
254,pubmed,0.01,0.5,40,0.0005,0.1,1.0,0.1,2,3,0.8700050709939149
255,pubmed,0.01,0.5,40,0.0005,1.0,1.0,0.1,2,3,0.8700050709939149
256,pubmed,0.01,0.5,40,0.0005,0.5,10.0,0.5,2,3,0.8700304259634889
257,pubmed,0.01,0.5,40,0.0005,0.1,1.0,0.5,2,3,0.8700557809330629
258,pubmed,0.01,0.5,40,0.0005,1.0,10.0,0.5,2,3,0.8700557809330629
259,pubmed,0.01,0.5,40,0.0005,0.5,10.0,0.1,2,3,0.8700557809330631
260,pubmed,0.01,0.5,40,0.0005,0.1,0.1,0.1,2,3,0.8700811359026369
261,pubmed,0.01,0.5,40,0.0005,0.1,1.0,0.9,2,3,0.8700811359026369
262,pubmed,0.01,0.5,40,0.0005,0.5,0.1,0.9,2,3,0.8700811359026369
263,pubmed,0.01,0.5,40,0.0005,0.5,0.5,0.1,2,3,0.8700811359026369
264,pubmed,0.01,0.5,40,0.0005,0.5,0.5,0.5,2,3,0.8700811359026369
265,pubmed,0.01,0.5,40,0.0005,0.5,0.5,0.9,2,3,0.8700811359026369
266,pubmed,0.01,0.5,40,0.0005,1.0,0.1,0.9,2,3,0.8700811359026369
267,pubmed,0.01,0.5,40,0.0005,1.0,0.5,0.9,2,3,0.8700811359026369
268,pubmed,0.01,0.5,40,0.0005,1.0,10.0,0.1,2,3,0.8700811359026369
269,pubmed,0.01,0.5,40,0.0005,0.1,0.1,0.5,2,3,0.8701064908722109
270,pubmed,0.01,0.5,40,0.0005,10.0,1.0,0.5,2,3,0.8701064908722109
271,pubmed,0.01,0.5,40,0.0005,0.1,0.1,0.9,2,3,0.870131845841785
272,pubmed,0.01,0.5,40,0.0005,0.1,0.5,0.9,2,3,0.870131845841785
273,pubmed,0.01,0.5,40,0.0005,0.5,1.0,0.9,2,3,0.870131845841785
274,pubmed,0.01,0.5,40,0.0005,0.5,1.0,0.5,2,3,0.870157200811359
275,pubmed,0.01,0.5,40,0.0005,10.0,0.5,0.5,2,3,0.870157200811359
276,pubmed,0.01,0.5,40,0.0005,10.0,0.1,0.5,2,3,0.8701825557809331
277,pubmed,0.01,0.5,40,0.0005,1.0,1.0,0.9,2,3,0.8702839756592293
278,pubmed,0.01,0.5,40,0.0005,0.5,1.0,0.1,2,3,0.8703093306288034
279,pubmed,0.01,0.5,40,0.0005,1.0,0.5,0.1,2,3,0.8703853955375255
280,pubmed,0.01,0.5,40,0.0005,1.0,0.1,0.1,2,3,0.8704107505070995
281,pubmed,0.01,0.5,40,0.0005,10.0,10.0,0.9,2,3,0.8704361054766736
282,pubmed,0.01,0.5,40,0.0005,0.1,10.0,0.9,2,3,0.8704614604462476
283,pubmed,0.01,0.5,40,0.0005,0.5,10.0,0.9,2,3,0.8704868154158216
284,pubmed,0.01,0.5,40,0.0005,1.0,10.0,0.9,2,3,0.8704868154158216
285,pubmed,0.01,0.5,40,0.0005,10.0,0.5,0.9,2,3,0.8705121703853956
286,pubmed,0.01,0.5,40,0.0005,10.0,1.0,0.9,2,3,0.8705121703853956
287,pubmed,0.01,0.5,40,0.0005,10.0,0.1,0.9,2,3,0.8705375253549696
288,squirrel,0.01,0.5,40,0.0005,10.0,0.1,0.1,2,3,0.23381364073006727
289,squirrel,0.01,0.5,40,0.0005,10.0,1.0,0.1,2,3,0.23381364073006727
290,squirrel,0.01,0.5,40,0.0005,10.0,0.5,0.1,2,3,0.23506243996157541
291,squirrel,0.01,0.5,40,0.0005,10.0,10.0,0.1,2,3,0.24274735830931796
